symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
SP500.,long,2025-09-11 18:00:00+02:00,6558.06,2025-09-11 19:00:00+02:00,6576.2596778569305,TP,1.0,1820.0,18.2,342.9
NAS100.,long,2025-09-11 19:00:00+02:00,23975.15,2025-09-11 20:30:00+02:00,24020.079170112997,SL,0.2,4492.9,8.99,351.89
DJ30.,short,2025-09-12 18:45:00+02:00,46037.06,2025-09-12 18:45:00+02:00,46074.765571533964,SL,0.2,-3770.6,-7.54,344.35
SP500.,long,2025-09-12 19:00:00+02:00,6593.94,2025-09-12 19:00:00+02:00,6589.486398220447,SL,1.5,-445.4,-6.68,337.67
NAS100.,long,2025-09-12 19:30:00+02:00,24072.1,2025-09-12 20:00:00+02:00,24098.70840971642,SL,0.3,2660.8,7.98,345.65
DJ30.,short,2025-09-12 19:30:00+02:00,46010.06,2025-09-12 20:45:00+02:00,45956.412809551206,SL,0.1,5364.7,5.36,351.01
DJ30.,short,2025-09-15 18:45:00+02:00,45863.45,2025-09-15 18:45:00+02:00,45901.619082080564,SL,0.2,-3816.9,-7.63,343.38
DJ30.,short,2025-09-15 20:30:00+02:00,45859.45,2025-09-15 21:15:00+02:00,45906.87484876606,SL,0.1,-4742.5,-4.74,338.64
DJ30.,short,2025-09-16 18:00:00+02:00,45883.08,2025-09-16 18:15:00+02:00,45913.44184149805,SL,0.2,-3036.2,-6.07,332.57
DJ30.,short,2025-09-16 18:45:00+02:00,45834.08,2025-09-16 18:45:00+02:00,45878.99739606873,SL,0.1,-4491.7,-4.49,328.08
SP500.,short,2025-09-16 18:00:00+02:00,6630.39,2025-09-16 18:45:00+02:00,6624.33983611994,SL,1.8,605.0,10.89,338.97
NAS100.,short,2025-09-16 18:45:00+02:00,24345.58,2025-09-16 19:00:00+02:00,24315.510368029,SL,0.3,3007.0,9.02,347.99
NAS100.,short,2025-09-17 18:45:00+02:00,24255.58,2025-09-17 18:45:00+02:00,24280.891622965803,SL,0.3,-2531.2,-7.59,340.4
DJ30.,short,2025-09-18 17:45:00+02:00,46230.58,2025-09-18 18:00:00+02:00,46090.894155487906,TP,0.1,13968.6,13.97,354.37
NAS100.,short,2025-09-18 18:45:00+02:00,24401.48,2025-09-18 18:45:00+02:00,24439.741534878136,SL,0.2,-3826.2,-7.65,346.72
SP500.,short,2025-09-18 18:15:00+02:00,6634.49,2025-09-18 18:45:00+02:00,6626.587942382754,SL,0.9,790.2,7.11,353.83
NAS100.,long,2025-09-19 18:15:00+02:00,24539.83,2025-09-19 19:00:00+02:00,24580.86753061771,SL,0.3,4103.8,12.31,366.14
SP500.,short,2025-09-19 20:30:00+02:00,6637.74,2025-09-19 20:45:00+02:00,6645.487217858874,SL,0.9,-774.7,-6.97,359.17
SP500.,long,2025-09-22 18:45:00+02:00,6659.35,2025-09-22 19:00:00+02:00,6665.819024662368,SL,1.4,646.9,9.06,368.23
NAS100.,long,2025-09-22 18:45:00+02:00,24633.25,2025-09-22 19:45:00+02:00,24713.509180292807,TP,0.3,8025.9,24.08,392.31
DJ30.,long,2025-09-22 19:45:00+02:00,46321.1,2025-09-22 20:15:00+02:00,46393.37544479128,SL,0.1,7227.5,7.23,399.54
NAS100.,short,2025-09-23 18:45:00+02:00,24739.39,2025-09-23 19:30:00+02:00,24761.233354050324,SL,0.4,-2184.3,-8.74,390.8
SP500.,short,2025-09-23 20:45:00+02:00,6691.87,2025-09-23 21:15:00+02:00,6685.648022667836,SL,1.4,622.2,8.71,399.51
