symbol,direction,entry_time,entry_price,exit_time,exit_price,exit_reason,lot_size,pnl_points,pnl_usd,equity
NAS100.,short,2025-10-31 17:45:00+01:00,26010.83,2025-10-31 18:30:00+01:00,26049.12952849078,SL,0.7,-3830.0,-26.81,1070.3
SP500.,short,2025-10-31 17:45:00+01:00,6861.68,2025-10-31 18:30:00+01:00,6870.22942179111,SL,3.2,-854.9,-27.36,1042.94
NAS100.,short,2025-10-31 20:00:00+01:00,25944.83,2025-10-31 20:45:00+01:00,25847.265468380425,SL,0.5,9756.5,48.78,1091.72
SP500.,short,2025-10-31 20:00:00+01:00,6850.03,2025-10-31 21:00:00+01:00,6830.27505796051,SL,2.1,1975.5,41.49,1133.21
DJ30.,short,2025-10-31 20:15:00+01:00,47535.4,2025-10-31 22:45:00+01:00,47622.91674071473,SL,0.3,-8751.7,-26.26,1106.95
DJ30.,short,2025-11-03 17:45:00+01:00,47538.45,2025-11-03 17:45:00+01:00,47438.85061715801,SL,0.5,9959.9,49.8,1156.75
SP500.,short,2025-11-03 17:45:00+01:00,6862.0,2025-11-03 18:15:00+01:00,6835.905089411594,SL,3.2,2609.5,83.5,1240.25
NAS100.,short,2025-11-03 18:30:00+01:00,25948.6,2025-11-03 18:30:00+01:00,25999.952900996464,SL,0.6,-5135.3,-30.81,1209.44
NAS100.,long,2025-11-04 18:00:00+01:00,25784.91,2025-11-04 18:45:00+01:00,25722.857003986956,SL,0.5,-6205.3,-31.03,1178.41
SP500.,long,2025-11-04 18:00:00+01:00,6816.09,2025-11-04 20:00:00+01:00,6803.6331367021885,SL,2.4,-1245.7,-29.9,1148.51
DJ30.,long,2025-11-04 18:00:00+01:00,47200.37,2025-11-04 20:15:00+01:00,47124.99327208917,SL,0.4,-7537.7,-30.15,1118.36
DJ30.,long,2025-11-05 18:00:00+01:00,47281.57,2025-11-05 18:15:00+01:00,47205.19094561449,SL,0.4,-7637.9,-30.55,1087.81
SP500.,long,2025-11-05 18:00:00+01:00,6804.74,2025-11-05 19:45:00+01:00,6824.740558684155,SL,2.4,2000.1,48.0,1135.81
NAS100.,short,2025-11-06 17:30:00+01:00,25592.76,2025-11-06 17:30:00+01:00,25522.653008379093,SL,0.7,7010.7,49.07,1184.88
DJ30.,short,2025-11-06 17:30:00+01:00,47270.07,2025-11-06 17:30:00+01:00,47317.44809968223,SL,0.6,-4737.8,-28.43,1156.45
